system_name,vendor,category,protocol,sector,description,os_firmware,known_software,cpe_id
Positive Train Control (PTC),Wabtec,train-control,I-ETMS/220 MHz RF,railroad,Federally mandated system preventing train-to-train collisions and overspeed derailments on Class I railroads,VxWorks Cert (onboard vital); Linux (base station),.NET/C#; SQL Server; GPS/GNSS; GoLINC Edge,cpe:2.3:a:wabtec:i-etms:*:*:*:*:*:*:*:*
European Train Control System (ETCS),Various (Alstom/Siemens/Hitachi),train-control,Eurobalise/Euroloop,railroad,Core signaling component of ERTMS providing continuous speed supervision and movement authority,VxWorks Cert 653 (onboard vital); QNX Neutrino (non-vital); Linux (ground),SCADE Suite; Eurobalise S21; GSM-R/GPRS stack; Artesyn ControlSafe SIL4,N/A
Communications-Based Train Control (CBTC),Thales/Alstom/Siemens,train-control,802.11/LTE,metro,Moving-block signaling system using continuous train-to-wayside communication for urban rail,VxWorks Cert 653 (vital); Linux (ATS/non-vital),Thales SelTrac G8; Alstom Urbalis 400; Siemens Trainguard MT; CLEARSY B-method,N/A
Automatic Train Protection (ATP),Alstom/Bombardier,train-control,Track circuits/Balises,railroad,Safety system enforcing speed limits and signal compliance through automatic brake application,VxWorks Cert (vital); proprietary RTOS (legacy),SCADE Suite; Alstom iVPI; Artesyn ControlSafe SIL4,N/A
Automatic Train Operation (ATO),Alstom/Thales,train-control,CBTC/radio,metro,System automating acceleration braking and door operation under GoA2-GoA4 automation grades,VxWorks Cert 653 (vital); Linux (non-vital),Alstom Urbalis ATO; CLEARSY Safety Platform; Thales SelTrac ATO,N/A
Automatic Train Supervision (ATS),Hitachi Rail/Thales,train-control,IP/proprietary,metro,Central system managing train regulation timetable adherence and service recovery across the network,Windows Server; Linux,.NET; SQL Server/Oracle; Java; OPC-UA; SCADA middleware,N/A
Chinese Train Control System (CTCS),CRSC,train-control,Balise/GSM-R,railroad,Chinese national train control standard with levels 0-4 deployed across high-speed and conventional rail,VxWorks Cert (onboard ATP vital); Linux (RBC ground),CRSC CTCS-3 ATP/ATO; GSM-R stack; Eurobalise-compatible transponders,N/A
Advanced Train Management System (ATMS),Lockheed Martin,train-control,GPS/RF/cellular,railroad,Australian centralized train management system using satellite positioning for remote desert rail,Linux; proprietary RTOS (safety layer),GPS dual-antenna; cellular/RF stack; Driver Machine Interface; Train Control & Display,N/A
Train Protection and Warning System (TPWS),Various,train-control,Track-mounted loops,railroad,UK safety overlay system providing overspeed and signal-passed-at-danger protection,Proprietary firmware; FPGA-based (Altera Cyclone V SoC),Thales TPU Mk4; AWS integration; Mors Smitt track-mounted loops,N/A
Centralized Traffic Control (CTC),Wabtec/Hitachi Rail,signaling,Serial/IP,railroad,Dispatching system allowing remote control of signals and switches from a central office,Windows Server,.NET/C#/VB.NET; SQL Server; SCADA interfaces; Wabtec TMDS,N/A
